categoria	nombre	unidad_nueva	porcion_antes	porcion_despues
FRUTAS	Albaricoque	UNIDAD	50	50
FRUTAS	Albaricoque Valenciano	UNIDAD	50	50
FRUTAS	Batido De Frutas Envasado	MILILITROS	250	250
FRUTAS	Breva	UNIDAD	60	60
FRUTAS	Caqui	UNIDAD	150	150
FRUTAS	Caqui Brillante	UNIDAD	150	150
FRUTAS	Caqui Persimon	UNIDAD	150	150
FRUTAS	Carambola	UNIDAD	100	100
FRUTAS	Chirimoya	UNIDAD	200	200
FRUTAS	Chirimoya Grande	UNIDAD	250	250
FRUTAS	Ciruela	UNIDAD	70	70
FRUTAS	Ciruela Amarilla	UNIDAD	70	70
FRUTAS	Ciruela Claudia	UNIDAD	70	70
FRUTAS	Ciruela Japonesa	UNIDAD	70	70
FRUTAS	Ciruela Mirabel	UNIDAD	70	70
FRUTAS	Ciruela Roja	UNIDAD	70	70
FRUTAS	Clementina	UNIDAD	70	70
FRUTAS	Dátil Barhi	UNIDAD	30	10
FRUTAS	Dátil Deglet Nour	UNIDAD	30	10
FRUTAS	Dátil Ecológico	UNIDAD	30	10
FRUTAS	Dátil Fresco	UNIDAD	30	10
FRUTAS	Dátil Medjoul	UNIDAD	30	25
FRUTAS	Dátil Natural	UNIDAD	30	10
FRUTAS	Dátil Zahidi	UNIDAD	30	10
FRUTAS	Fruta De La Pasión	UNIDAD	50	50
FRUTAS	Granada	UNIDAD	150	150
FRUTAS	Granada Mollar	UNIDAD	150	150
FRUTAS	Granada Roja	UNIDAD	150	150
FRUTAS	Guayaba	UNIDAD	100	100
FRUTAS	Guayaba Rosa	UNIDAD	100	100
FRUTAS	Higo Blanco	UNIDAD	50	50
FRUTAS	Higo Chumbo	UNIDAD	100	100
FRUTAS	Higo Fresco	UNIDAD	50	50
FRUTAS	Higo Negro	UNIDAD	50	50
FRUTAS	Kiwi	UNIDAD	80	80
FRUTAS	Kiwi Amarillo Sungold	UNIDAD	80	80
FRUTAS	Kiwi Ecológico	UNIDAD	80	80
FRUTAS	Kiwi Gold	UNIDAD	80	80
FRUTAS	Kiwi Mini	UNIDAD	40	40
FRUTAS	Kiwi Zespri	UNIDAD	80	80
FRUTAS	Lima	UNIDAD	60	60
FRUTAS	Limón	UNIDAD	60	60
FRUTAS	Limón Ecológico	UNIDAD	60	60
FRUTAS	Limón Eureka	UNIDAD	60	60
FRUTAS	Limón Verna	UNIDAD	60	60
FRUTAS	Mandarina	UNIDAD	80	80
FRUTAS	Mandarina Clemenules	UNIDAD	80	80
FRUTAS	Mandarina Clemenvilla	UNIDAD	80	80
FRUTAS	Mandarina Fortuna	UNIDAD	80	80
FRUTAS	Mandarina Nadorcott	UNIDAD	80	80
FRUTAS	Mandarina Ortanique	UNIDAD	80	80
FRUTAS	Mandarina Satsuma	UNIDAD	80	80
FRUTAS	Mango	UNIDAD	150	150
FRUTAS	Mango Ataulfo	UNIDAD	150	150
FRUTAS	Mango Kent	UNIDAD	150	150
FRUTAS	Mango Maduro	UNIDAD	150	150
FRUTAS	Mango Osteen	UNIDAD	150	150
FRUTAS	Mango Tommy	UNIDAD	150	150
FRUTAS	Manzana	UNIDAD	180	180
FRUTAS	Manzana Braeburn	UNIDAD	180	180
FRUTAS	Manzana Cripps Pink	UNIDAD	180	180
FRUTAS	Manzana Ecológica	UNIDAD	180	180
FRUTAS	Manzana Envy	UNIDAD	180	180
FRUTAS	Manzana Fuji	UNIDAD	180	180
FRUTAS	Manzana Golden	UNIDAD	180	180
FRUTAS	Manzana Granny Smith	UNIDAD	180	180
FRUTAS	Manzana Jazz	UNIDAD	180	180
FRUTAS	Manzana Kanzi	UNIDAD	180	180
FRUTAS	Manzana Pink Lady	UNIDAD	180	180
FRUTAS	Manzana Reineta	UNIDAD	180	180
FRUTAS	Manzana Royal Gala	UNIDAD	180	180
FRUTAS	Manzana Starking	UNIDAD	180	180
FRUTAS	Melocotón	UNIDAD	150	150
FRUTAS	Melocotón Amarillo	UNIDAD	150	150
FRUTAS	Melocotón Blanco	UNIDAD	150	150
FRUTAS	Melocotón De Calanda	UNIDAD	150	150
FRUTAS	Melocotón Ecológico	UNIDAD	150	150
FRUTAS	Melocotón Plano (paraguayo)	UNIDAD	130	130
FRUTAS	Melocotón Rojo	UNIDAD	150	150
FRUTAS	Mermelada Ecológica De Fresa	CUCHARADA	20	20
FRUTAS	Mermelada Ecológica De Naranja	CUCHARADA	20	20
FRUTAS	Mermelada Sin Azúcar De Albaricoque	CUCHARADA	20	20
FRUTAS	Mermelada Sin Azúcar De Arándanos	CUCHARADA	20	20
FRUTAS	Naranja	UNIDAD	200	200
FRUTAS	Naranja De Zumo	UNIDAD	200	200
FRUTAS	Naranja Ecológica	UNIDAD	200	200
FRUTAS	Naranja Lane Late	UNIDAD	200	200
FRUTAS	Naranja Navel	UNIDAD	200	200
FRUTAS	Naranja Navelina	UNIDAD	200	200
FRUTAS	Naranja Salustiana	UNIDAD	200	200
FRUTAS	Naranja Sanguina	UNIDAD	200	200
FRUTAS	Naranja Valencia	UNIDAD	200	200
FRUTAS	Nectarina	UNIDAD	150	150
FRUTAS	Nectarina Amarilla	UNIDAD	150	150
FRUTAS	Nectarina Blanca	UNIDAD	150	150
FRUTAS	Nectarina Roja	UNIDAD	150	150
FRUTAS	Paraguaya	UNIDAD	130	130
